time,PV power,Direct-in-plane,Sun Height,Air Temperature,Wind speed
20200111:1411,15.1,30.53,12.72,10.6,4.69
20200111:1511,22.13,39.75,8.4,9.92,3.86
20200111:1611,0,0.9,2.41,9.3,3.38
20200111:1711,0,0,0,8.61,3.03
20200111:1811,0,0,0,8.18,2.9
20200111:1911,0,0,0,7.29,2.9
20200111:2011,0,0,0,6.97,2.48
20200111:2111,0,0,0,6.44,2.34
20200111:2211,0,0,0,5.99,2.34
20200111:2311,0,0,0,5.6,2.34
20200112:0011,0,0,0,5.3,2.34
20200112:0111,0,0,0,5.14,2.21
20200112:0211,0,0,0,5.29,2.14
20200112:0311,0,0,0,5.46,2.21
20200112:0411,0,0,0,5.71,3.24
20200112:0511,0,0,0,5.43,3.38
20200112:0611,0,0,0,5.36,3.31
20200112:0711,0,0,0,5.19,3.52
20200112:0811,0,0,0,5.06,3.38
20200112:0911,19.46,35.37,2.84,4.7,3.1
20200112:1011,307.15,354.73,8.78,4.74,2.83
20200112:1111,504.84,582.39,13.02,5.21,2.9
20200112:1211,583.52,678.53,15.22,5.7,2.97
20200112:1311,575.98,670.89,15.17,6.13,2.97
20200112:1411,255.53,299.86,12.89,6.31,3.1
20200112:1511,191.5,229.75,8.58,5.87,3.17
20200112:1611,1.05,8.08,2.59,5.34,2.76
20200112:1711,0,0,0,4.74,2.76
20200112:1811,0,0,0,4.33,2.76
20200112:1911,0,0,0,4.32,2.83
20200112:2011,0,0,0,4.3,2.97
20200112:2111,0,0,0,4.1,3.24
20200112:2211,0,0,0,3.88,3.38
20200112:2311,0,0,0,3.64,3.66
20200113:0011,0,0,0,3.59,3.86
20200113:0111,0,0,0,3.72,4.14
20200113:0211,0,0,0,4.03,4.41
20200113:0311,0,0,0,4.53,4.76
20200113:0411,0,0,0,5.17,5.24
20200113:0511,0,0,0,5.62,5.66
20200113:0611,0,0,0,5.85,6.28
20200113:0711,0,0,0,7.01,7.24
20200113:0811,0,0,0,7.38,8.14
20200113:0911,2.36,10.78,2.95,7.53,9.1
20200113:1011,17.37,33.22,8.9,7.67,9.93
20200113:1111,10.22,23.35,13.16,7.59,10.21
20200113:1211,6.61,17.96,15.38,7.73,9.93
20200113:1311,25.73,44,15.35,7.36,8.41
20200113:1411,180.89,216.43,13.08,6.23,6.76
20200113:1511,153.62,187.67,8.77,6.69,7.24
20200113:1611,0,4.49,2.78,6.82,6.97
20200113:1711,0,0,0,6.26,6.28
20200113:1811,0,0,0,5.74,6.14
20200113:1911,0,0,0,5.22,6
20200113:2011,0,0,0,4.99,6.07
20200113:2111,0,0,0,4.58,6.07
20200113:2211,0,0,0,4.14,5.72
20200113:2311,0,0,0,4.07,5.66
20200114:0011,0,0,0,4,5.38
20200114:0111,0,0,0,3.83,5.03
20200114:0211,0,0,0,3.48,4.83
20200114:0311,0,0,0,3.19,4.55
20200114:0411,0,0,0,3.14,4.41
20200114:0511,0,0,0,2.99,4.34
20200114:0611,0,0,0,3.14,4.21
20200114:0711,0,0,0,3.57,3.72
20200114:0811,0,0,0,3.73,3.59
20200114:0911,0,4.49,3.06,3.96,3.52
20200114:1011,9.17,21.55,9.03,3.88,3.17
20200114:1111,73.97,99.36,13.31,3.58,2.34
20200114:1211,39.52,60.16,15.54,3.4,2.34
20200114:1311,397.45,452.54,15.53,3.38,3.45
20200114:1411,20.46,36.82,13.26,3.86,3.72
20200114:1511,132.21,163.29,8.96,4.15,3.59
20200114:1611,0.66,7.18,2.97,3.97,3.59
20200114:1711,0,0,0,3.42,3.66
20200114:1811,0,0,0,3.01,3.66
20200114:1911,0,0,0,3.16,4.21
20200114:2011,0,0,0,3.1,4.28
20200114:2111,0,0,0,2.87,4.34
20200114:2211,0,0,0,2.71,4.48
20200114:2311,0,0,0,2.75,4.55
20200115:0011,0,0,0,2.79,4.55
20200115:0111,0,0,0,2.89,4.62
20200115:0211,0,0,0,3.02,4.76
20200115:0311,0,0,0,3.09,4.83
20200115:0411,0,0,0,3.21,4.76
20200115:0511,0,0,0,3.39,4.69
20200115:0611,0,0,0,3.62,4.69
20200115:0711,0,0,0,3.65,4.55
20200115:0811,0,0,0,3.72,4.69
20200115:0911,19.98,35.92,3.18,3.77,4.76
20200115:1011,329.48,375.88,9.17,4.21,4.9
20200115:1111,524.39,596.99,13.46,5.18,5.17
20200115:1211,541.22,623.19,15.71,6.01,4.07
20200115:1311,545.06,623.65,15.71,6.65,5.86
20200115:1411,109.2,139.4,13.46,6.83,5.66
20200115:1511,122.32,153.88,9.16,6.74,4.97
20200115:1611,9.03,21.72,3.17,6.19,4.21
20200115:1711,0,0,0,5.64,4
20200115:1811,0,0,0,5.29,4
20200115:1911,0,0,0,4.58,3.66
20200115:2011,0,0,0,4.28,3.38
20200115:2111,0,0,0,4.06,3.45
20200115:2211,0,0,0,4.25,3.52
20200115:2311,0,0,0,5.05,4
20200116:0011,0,0,0,5.76,4.41
20200116:0111,0,0,0,6.5,5.03
20200116:0211,0,0,0,7.33,5.86
20200116:0311,0,0,0,8.02,6.34
20200116:0411,0,0,0,8.42,6.48
20200116:0511,0,0,0,8.56,6.62
20200116:0611,0,0,0,8.58,6.83
20200116:0711,0,0,0,8.65,6.9
20200116:0811,0,0,0,8.49,7.17
20200116:0911,0,5.39,3.3,8.58,7.24
20200116:1011,8.93,21.55,9.31,8.71,7.31
20200116:1111,31.19,51.18,13.63,9.26,7.52
20200116:1211,17.15,33.22,15.89,9.92,7.24
20200116:1311,127.09,161.11,15.91,10.06,6.97
20200116:1411,248.32,292.99,13.66,8.77,5.93
20200116:1511,271.24,319.63,9.37,8.18,4.76
20200116:1611,0,2.69,3.37,7.79,4.48
20200116:1711,0,0,0,7.07,4.21
20200116:1811,0,0,0,6.55,3.79
20200116:1911,0,0,0,5.56,3.03
20200116:2011,0,0,0,5.24,2.62
20200116:2111,0,0,0,4.7,2.34
20200116:2211,0,0,0,4.2,2.14
20200116:2311,0,0,0,3.92,2.07
20200117:0011,0,0,0,3.69,2.07
20200117:0111,0,0,0,3.42,2.14
20200117:0211,0,0,0,3.34,2.41
20200117:0311,0,0,0,3.42,2.69
20200117:0411,0,0,0,3.31,2.76
20200117:0511,0,0,0,2.87,2.83
20200117:0611,0,0,0,2.47,2.97
20200117:0711,0,0,0,2.55,3.03
20200117:0811,0,0,0,2.38,3.03
20200117:0911,92.05,118.42,3.44,2.17,2.9
20200117:1011,353.31,402.7,9.46,2.48,2.76
20200117:1111,526.56,605.7,13.8,3.42,2.41
20200117:1211,581.46,671.5,16.08,4.28,2.97
20200117:1311,511.35,584.69,16.11,5.08,4.34
20200117:1411,196.6,233.81,13.87,5.4,3.93
20200117:1511,131.51,163.44,9.57,5.21,2.97
20200117:1611,8.53,20.85,3.58,4.87,2.62
20200117:1711,0,0,0,4.23,2.48
20200117:1811,0,0,0,3.49,2.41
20200117:1911,0,0,0,2.93,2.48
20200117:2011,0,0,0,2.51,2.48
20200117:2111,0,0,0,2.12,2.28
20200117:2211,0,0,0,1.66,2.14
20200117:2311,0,0,0,1.19,2
20200118:0011,0,0,0,0.67,1.86
20200118:0111,0,0,0,-0.15,1.59
20200118:0211,0,0,0,-0.79,1.45
20200118:0311,0,0,0,-1.06,1.31
20200118:0411,0,0,0,-0.71,1.1
20200118:0511,0,0,0,-0.58,1.03
20200118:0611,0,0,0,-1.09,1.1
20200118:0711,0,0,0,-0.68,0.97
20200118:0811,0,0,0,-1.41,1.1
20200118:0911,46.65,66.96,3.57,-0.94,0.9
20200118:1011,374.29,429.86,9.62,0.37,0.41
20200118:1111,522.41,614.47,13.97,1.78,0.07
20200118:1211,598.33,721.44,16.27,4.04,0.07
20200118:1311,570.87,686.23,16.31,4.94,0.21
20200118:1411,232.14,276.5,14.08,5.18,0.28
20200118:1511,105.51,135.45,9.79,5.04,0.55
20200118:1611,27.69,46.65,3.79,4.41,1.03
20200118:1711,0,0,0,3.1,0.9
20200118:1811,0,0,0,3.21,0.83
20200118:1911,0,0,0,2.94,0.83
20200118:2011,0,0,0,2.56,0.21
20200118:2111,0,0,0,2.19,0.41
20200118:2211,0,0,0,1.97,0.62
20200118:2311,0,0,0,1.71,0.76
20200119:0011,0,0,0,1.68,0.48
20200119:0111,0,0,0,1.07,0.97
20200119:0211,0,0,0,-1.05,1.38
20200119:0311,0,0,0,-0.21,1.1
20200119:0411,0,0,0,-0.85,1.24
20200119:0511,0,0,0,-1.81,1.52
20200119:0611,0,0,0,-2.13,1.59
20200119:0711,0,0,0,-3.4,1.24
20200119:0811,0,0,0,-3.32,1.45
20200119:0911,0,5.39,3.72,-3.02,1.52
20200119:1011,66.36,88.99,9.78,-1.04,1.52
20200119:1111,522.57,599.64,14.15,1.85,1.86
20200119:1211,600.15,699.17,16.47,3.77,2.07
20200119:1311,564.14,657.89,16.52,4.86,2.14
20200119:1411,507.73,588.41,14.3,5.22,2.55
20200119:1511,226.67,268.06,10.01,5.01,2.48
20200119:1611,29.16,48.32,4.01,4.04,2.41
20200119:1711,0,0,0,2.69,2.48
20200119:1811,0,0,0,1.99,2.48
20200119:1911,0,0,0,1.9,2.48
20200119:2011,0,0,0,1.83,2.48
20200119:2111,0,0,0,1.69,2.48
20200119:2211,0,0,0,1.59,2.48
20200119:2311,0,0,0,1.59,2.48
20200120:0011,0,0,0,1.62,2.48
20200120:0111,0,0,0,1.57,2.48
20200120:0211,0,0,0,1.53,2.48
20200120:0311,0,0,0,1.41,2.41
20200120:0411,0,0,0,1.3,2.41
20200120:0511,0,0,0,1.24,2.41
20200120:0611,0,0,0,1.2,2.41
20200120:0711,0,0,0,1.15,2.34
20200120:0811,0,0,0,1.21,2.34
20200120:0911,110.95,138.73,3.87,1.2,2.28
20200120:1011,339.57,388.05,9.96,2.11,2.14
20200120:1111,532.77,617.38,14.34,3.96,2
20200120:1211,571.39,667.42,16.68,5.34,2.28
20200120:1311,582.45,682.09,16.74,6.21,2.55
20200120:1411,472.17,550.12,14.52,6.71,2.55
20200120:1511,273.75,322.64,10.23,6.58,2.48
20200120:1611,45.71,68.98,4.23,5.91,2.28
20200120:1711,0,0,0,4.96,2.14
20200120:1811,0,0,0,3.92,2.14
20200120:1911,0,0,0,3.5,2.14
20200120:2011,0,0,0,3.07,2.07
20200120:2111,0,0,0,2.93,1.93
20200120:2211,0,0,0,2.87,1.86
20200120:2311,0,0,0,2.69,1.79
20200121:0011,0,0,0,2.86,1.66
20200121:0111,0,0,0,2.99,1.59
20200121:0211,0,0,0,2.63,1.66
20200121:0311,0,0,0,2.45,1.66
20200121:0411,0,0,0,2.11,1.72
20200121:0511,0,0,0,2.05,1.59
20200121:0611,0,0,0,2.1,1.52
20200121:0711,0,0,0,2.97,1.45
20200121:0811,0,0,0,3.33,1.45
20200121:0911,3.97,13.47,4.03,3.36,1.45
20200121:1011,245.5,288.26,10.13,4.23,1.1
20200121:1111,101.68,131.42,14.54,5.64,0.97
20200121:1211,92.6,122.05,16.89,6.5,1.03
20200121:1311,39.48,61.06,16.97,7.15,1.1
20200121:1411,34.26,54.78,14.75,7.51,1.1
20200121:1511,190.62,232.19,10.46,7.57,0.9
20200121:1611,27.52,46.81,4.46,7.34,1.03
20200121:1711,0,0,0,6.82,1.24
20200121:1811,0,0,0,6.44,1.24
20200121:1911,0,0,0,6.17,1.31
20200121:2011,0,0,0,6.18,1.24
20200121:2111,0,0,0,6.2,1.17
20200121:2211,0,0,0,6.2,1.17
20200121:2311,0,0,0,6.23,1.1
20200122:0011,0,0,0,6.17,1.1
20200122:0111,0,0,0,6.19,1.03
20200122:0211,0,0,0,6.12,1.03
20200122:0311,0,0,0,6.15,0.97
20200122:0411,0,0,0,6.17,0.97
20200122:0511,0,0,0,6.23,0.97
20200122:0611,0,0,0,6.27,1.1
20200122:0711,0,0,0,6.22,0.9
20200122:0811,0,0,0,6.03,0.97
20200122:0911,0.64,7.18,4.2,5.94,1.03
20200122:1011,23.63,41.31,10.32,6.47,0.9
20200122:1111,47.94,71.08,14.74,7.13,1.03
20200122:1211,106.44,138.06,17.11,7.58,1.17
20200122:1311,95.89,126.48,17.2,8.08,1.31
20200122:1411,58.79,84.19,14.99,8.4,1.38
20200122:1511,60.07,85.43,10.7,8.42,1.31
20200122:1611,11.75,25.74,4.69,8.3,1.31
20200122:1711,0,0,0,7.83,1.38
20200122:1811,0,0,0,7.53,1.31
20200122:1911,0,0,0,7.19,0.97
20200122:2011,0,0,0,6.62,0.9
20200122:2111,0,0,0,6.41,0.76
20200122:2211,0,0,0,6.43,0.62
20200122:2311,0,0,0,5.89,0.55
20200123:0011,0,0,0,5.64,0.28
20200123:0111,0,0,0,5.33,0.14
20200123:0211,0,0,0,4.93,0.07
20200123:0311,0,0,0,4.54,0.21
20200123:0411,0,0,0,4.41,0.34
20200123:0511,0,0,0,4.37,0.48
20200123:0611,0,0,0,4.23,0.48
20200123:0711,0,0,0,4.58,0.48
20200123:0811,0,0,0,4.48,0.28
20200123:0911,79.82,106.36,4.37,4.41,0.41
20200123:1011,115.49,145.95,10.51,4.68,0.28
20200123:1111,272.22,322.21,14.95,5.25,0.07
20200123:1211,273.33,324.48,17.34,5.9,0.21
20200123:1311,262.74,312.79,17.43,6.37,0.34
20200123:1411,77.87,105.51,15.23,6.59,0.55
20200123:1511,57.39,81.87,10.94,6.68,0.55
20200123:1611,5.5,16.16,4.92,6.64,0.62
20200123:1711,0,0,0,6.45,0.69
20200123:1811,0,0,0,6.3,0.76
20200123:1911,0,0,0,5.88,1.38
20200123:2011,0,0,0,5.73,1.31
20200123:2111,0,0,0,5.65,1.45
20200123:2211,0,0,0,5.56,1.59
20200123:2311,0,0,0,5.43,1.72
20200124:0011,0,0,0,5.37,1.38
20200124:0111,0,0,0,5.26,1.1
20200124:0211,0,0,0,5.24,1.1
20200124:0311,0,0,0,5.22,0.9
20200124:0411,0,0,0,5.17,1.03
20200124:0511,0,0,0,5.07,1.17
20200124:0611,0,0,0,5.01,1.24
20200124:0711,0,0,0,4.76,1.24
20200124:0811,0,0,0,4.74,1.31
20200124:0911,0.28,6.29,4.55,4.79,1.38
20200124:1011,85.63,112.77,10.7,5.07,1.45
20200124:1111,112.47,143.2,15.17,5.56,1.52
20200124:1211,66.44,92.28,17.57,5.85,1.52
20200124:1311,112.92,144.44,17.67,6.2,1.52
20200124:1411,38.13,59.27,15.47,6.55,1.59
20200124:1511,36.86,57.69,11.18,6.76,1.59
20200124:1611,12.17,26.16,5.16,6.69,1.31
20200124:1711,0,0,0,6.41,1.45
20200124:1811,0,0,0,5.86,1.66
20200124:1911,0,0,0,5.57,1.66
20200124:2011,0,0,0,5.55,1.79
20200124:2111,0,0,0,5.51,1.93
20200124:2211,0,0,0,5.42,2.07
20200124:2311,0,0,0,5.38,2.14
20200125:0011,0,0,0,5.27,2.14
20200125:0111,0,0,0,5.36,2.28
20200125:0211,0,0,0,5.32,2.48
20200125:0311,0,0,0,5.45,2.76
20200125:0411,0,0,0,5.49,2.9
20200125:0511,0,0,0,5.53,2.9
20200125:0611,0,0,0,5.32,2.9
20200125:0711,0,0,0,5.4,2.83
20200125:0811,0,0,0,5.58,2.97
20200125:0911,6.11,17.06,4.73,5.74,2.97
20200125:1011,20.22,36.82,10.91,6.11,3.1
20200125:1111,47.93,70.94,15.39,6.66,2.97
20200125:1211,73.15,100.11,17.81,7.23,4.62
20200125:1311,46.3,69.14,17.92,7.37,4.07
20200125:1411,51.38,75.13,15.72,7.63,4.14
20200125:1511,168.37,205.58,11.43,7.63,3.72
20200125:1611,7.2,18.86,5.4,7.28,3.24
20200125:1711,0,0,0,6.82,3.38
20200125:1811,0,0,0,6.55,3.66
20200125:1911,0,0,0,6.78,3.93
20200125:2011,0,0,0,6.74,4.07
20200125:2111,0,0,0,6.86,4.34
20200125:2211,0,0,0,7.08,4.62
20200125:2311,0,0,0,7.32,4.9
20200126:0011,0,0,0,7.56,4.97
20200126:0111,0,0,0,7.83,5.03
20200126:0211,0,0,0,8.1,5.03
20200126:0311,0,0,0,8.16,5.03
20200126:0411,0,0,0,8.01,4.76
20200126:0511,0,0,0,7.92,4.55
20200126:0611,0,0,0,7.39,3.93
20200126:0711,0,0,0,6.51,3.52
20200126:0811,0,0,0,5.81,3.24
20200126:0911,180.61,217.48,4.92,5.12,3.24
